species,IM,OM,OM+LPS,Periplasm,PG,LPS,Slime layer,S-layer,Mycolic acid layer,Granular layer,Polysaccharide layer,Poly-gamma-D-glutamic acid,Total,Reference,Method,Place in text,Comment1,Comment2
Enterococcus faecium,4.9,,,,25.6,,,,,,,,30.5,Mishra et al. 2012,conventional,p. 3,Membrane thickness was calculated from the average lipid length (data from Mishra et al. 2012) which was about 17 C-atoms. Head groups assumed to be the size of an average 2xCC bond which is 0.142 nm.,
Enterococcus faecalis,4.9,,,,10.43,,,,,,,,15.33,Arias et al. 2011,conventional,p. 895,Membrane thickness was calculated from the average lipid length (data from Mishra et al. 2012) which was about 17 C-atoms. Head groups assumed to be the size of an average 2xCC bond which is 0.142 nm.,
Flavobacterium johnsoniae,,,,,,,,,,,,,35.93666667,Liu et al. 2007,cryo-TEM,p. 7505; Figure 2,"Average across three sections, one in each panel",
Chlamydia trachomatis,10,10,,10,,,,,,,,,30,Huang et al. 2010,cryo-TEM,p. 240,,
Bacillus anthracis,9.8,,,19.61,29,,,12.26,,,,95.59,70.67,Mesnage et al. 1998,conventional,p. 54; Figure 3A,"S-layer is made of two proteins, and capsule is composed of poly-gamma-D-glutamic acid.",
Bacillus licheniformis,,,,,,,,,,,,,21.62333333,Ghosh and Ghosh 1979,conventional,p. 1377; Figure 1B,,
Acinetobacter baumannii,,,,,,,,,,,,,43.53,Koning et al. 2013,cryo-TEM,p. 399; Figure 1C,"Revisit 2D-profile to determine IM, OM, PG thickness",
Legionella pneumophila,6,6,,15,5,,,,,,,,32,Hebert et al. 1984,conventional,p. 117,,
Legionella micdadei,6,6,,15,5,,,,,,6,,38,Hebert et al. 1984,conventional,p. 117,,
Mycobacterium tuberculosis,6,,7.62,10.67,15.34,,,,,,,,39.63,Vijay et al. 2018,conventional,p. 5; Figure 1B,,
Caulobacter crescentus,6,,7.1,8,7,,,17.05,,,,,45.46,Smit et al. 1981,conventional,p. 4; Figure 2A,"Although the measurements were taken from close to the stalk, the overall ultrastructure is the same for other parts of the cell.",Peptidoglycan thickness taken from Gan et al. 2008.
Helicobacter pylori,5,5,,,,,,,,,,,33.07,Qin et al. 2016,cryo-TEM,p. 3; Figure 1E,Average from the thinnest and thickest part of the envelope.,
Nocardia asteroides,6,,,,18.5,,,,,,,,45,Kawata and Inoue 1965,conventional,p. 102,,
Mycoplasma meleagridis,8,,,,,,,,,,36,,44,Green and Hanson 1973,conventional,"p. 1012, p. 1015, p. 1013",,
Ureaplasma urealyticum,8.75,,,,,,,,,,25,,33.75,Robertson and Smook 1976,conventional,p. 658,IM thickness taken as average across Mycoplasmas,
Mycoplasma dispar,8.75,,,,,,,,,,20.5,,29.25,Howard and Gourley 1974,conventional,p. 394,IM thickness taken as average across Mycoplasmas,
Mycoplasma mycoides,8.75,,,,,,,,,,15,,23.75,Howard and Gourley 1974,conventional,p. 394,"IM thickness taken as average across Mycoplasmas. One strain doesn't have a capsule and another one has 30nm thick capsule, hence the average of 15nm.",
Spiroplasma citri,10,,,,,,,,,,,,10,Garnier et al. 1976,conventional,p. 16,,
Nitrobacter winogradskyi,7,,,,,,,,,,,,21.75,Murray and Watson 1965,conventional,"p. 1602, p. 1601; Figure 15",,
Nitrosocystis oceanus,8,,9,,16,,,,,,,,33,Murray and Watson 1965,conventional,p. 1598,"Assumed that triple layer corresponds to PG, and the outer layer to OM+LPS.",
Nitrosomonas europaea,8,,,,19,,,,,,,,30,Murray and Watson 1965,conventional,p. 1602,Plasma membrane assumed to be of the same thickness as in N. oceanus.,
Thiobacillus thiooxidans,8.25,,8.5,6,3,,,,,,,,25.75,Mahoney and Edwards 1966,conventional,p. 488,,
Asticcacaulis biprosthecum,8.5,8.5,,,4,,,,,,,,21,Pate and Ordal 1965,conventional,p. 136,,
Veillonella parvula,8,8,,,7,,,,,,,,23,Bladen and Mergenhagen 1964,conventional,"p. 1483, p. 1487",,
Bacillus megaterium,6.6,,,,10,,,,,,12,,28.6,Nermut 1967,conventional,p. 508,IM assumed to be the same as in Bacillus subtilis.,
Bacillus polymyxa,6.6,,,,6,,,12,,,6,,30.6,Nermut and Murray 1967,conventional,p. 1962; Figure 25,IM assumed to be the same as in Bacillus subtilis.,
Brucella abortus,6.5,6.5,,,15,,,,,,,,28,De Petris et al. 1964,conventional,p. 375,,
Serpulina hyodysenteriae,,,,,,,,,,,,,35.3,Li et al. 2008,conventional,p. 5611; Figure 4A,,
Pelagibacter ubique,5.096666667,,5.536666667,17,,,,,,,,,27.63333333,Zhao2017,cryo-ET,"p. 5, p.4; Figure 2E",Periplasm value includes the thickness of peptidoglycan.,
Bdellovibrio bacteriovorus,8.333333333,,,,11,,,3.333333333,,,,,22.66666667,Burnham1968,conventional,p. 1370; Figure 7,,
Endomicrobium proavitum,7.666666667,,,,13,,,,,,,,20.66666667,Zheng2016,conventional,p. 194; Figure 2B,,
Elusimicrobium minutum,,,,,,,,,,,,,22.66666667,Geissinger2009,conventional,p. 2833; Figure 1B,,
Mycobacterium leprae,8.5,,,13.5,13.5,,,,,,,,35.5,Rastogi1982,conventional,"p. 114, Figure 1C",,
Haemophilus influenzae,,,,,,,,,,,,,38.33333333,Doern1976,conventional,p. 530; Figure 5C,,
Treponema phagedenis,,,,,,,,,,,,,24,Hougen1974,conventional,p. 336; Figure 14,,
