"species","shape","V.mean","S.mean","growth_rate","total_thickness_nm","rRNA genes","tRNA genes","tca_steps"
"Flavobacterium johnsoniae","rod",0.873245733371616,10.6028752058656,5.786272116,35.93666667,18,62,12
"Flavobacterium limicola","rod",0.258031571009944,3.32223423117121,2.918514444,NA,3,46,NA
"Flavobacterium segetis","rod",0.0447030308648682,1.33517687777566,4.124331783,NA,3,39,NA
"Flavobacterium weaverense","rod",0.62434651040627,8.85929128312322,8.824101784,NA,3,42,NA
"Gluconobacter japonicus",NA,NA,NA,2.190850968,NA,3,50,NA
"Gluconobacter oxydans",NA,NA,NA,3.264,NA,12,55,8
"Haemophilus influenzae","rod",0.323481205215004,3.11276854099311,8.907953379,38.33333333,14,47,7
"Haererehalobacter ostenderis",NA,NA,NA,17.835246,NA,NA,NA,NA
"Halomonas alimentaria","rod",0.851279455738329,5.02654824574367,1.517893277,NA,2,57,NA
"Halomonas cupida",NA,NA,NA,7.378555443,NA,5,50,NA
"Halomonas meridiana",NA,NA,NA,36.80891196,NA,18,61,12
"Halomonas venusta",NA,NA,NA,8.262967386,NA,18,60,12
"Helicobacter pylori","rod",1.2937911069536,8.83572933822129,1.374037253,33.07,6,36,8
"Herminiimonas glaciei","rod",0.0358882454776708,0.769690200129499,1.663553233,NA,NA,NA,NA
"Klebsiella pneumoniae","rod",0.224406057641021,2.35053962341588,11.35384171,NA,25,62,12
"Lactobacillus casei","rod",1.47411067128802,8.48230016469244,3.032944599,NA,15,59,2
"Lactobacillus johnsonii",NA,NA,NA,8.087852263,NA,24,79,2
"Lactobacillus plantarum","rod",3.19973908301815,16.4148216150067,5.952,NA,16,67,2
"Lactobacillus reuteri",NA,NA,NA,1.21317784,NA,18,69,2
"Lactococcus bulgaricus",NA,NA,NA,4.549416898,NA,NA,NA,2
"Lactococcus lactis","sphere",0.269761582304466,2.33253655236203,13.66103949,NA,19,65,6
"Legionella micdadei","rod",0.186356134618293,2.47400421470196,3.137726862,38,9,43,12
"Legionella pneumophila","rod",0.433452623361716,4.17733648157018,0.864,32,9,43,12
"Leptospira biflexa","helical",0.196799865665361,11.1114540006331,1.147278092,35.695,5,35,12
"Leptospira canicola","helical",0.289494828118799,8.66810240527669,0.4557680091,NA,5,37,12
"Leptospira icterohaemorrhagiae","helical",0.0439283818980421,3.88185140694224,0.6654212933,NA,5,37,NA
"Leptospira interrogans","helical",0.0626066690965667,6.67800696739647,0.4415766709,36.711,5,37,12
"Leptospira kobayashii","helical",0.37942880929781,12.163001982594,0.8317766167,NA,4,36,12
"Leptospira pomona",NA,NA,NA,0.715506767,NA,5,37,NA
"Listeria innocua",NA,NA,NA,14.4,NA,3,49,7
"Magnetospirillum gryphiswaldense","rod",1.1988652669315,8.79645943005142,1.94939945,NA,6,49,12
"Mannheimia succiniciproducens",NA,NA,NA,4.839751528,NA,19,59,12
"Marinomonas communis",NA,NA,NA,9.989127333,NA,11,69,NA
"Marinomonas vaga","rod",1.27118603881408,7.16283125018473,12.90209285,NA,NA,NA,NA
"Megasphaera elsdenii",NA,NA,NA,2.020070203,NA,21,65,4
"Mesoplasma florum","sphere",0.0852268722320993,0.964205050869165,8.716220561,NA,6,29,0
"Methylobacterium extorquens",NA,NA,NA,2.459242383,NA,15,58,12
"Mycobacterium avium","rod",0.210334864145593,3.12902628297543,0.7734008727,NA,3,46,12
"Mycobacterium leprae","rod",0.197241753162982,4.24115008234622,0.3156572068,35.5,3,45,12
"Mycobacterium lepraemurium","rod",0.0897181265999929,1.81230626203961,0.2919829163,NA,NA,NA,12
"Mycobacterium phlei",NA,NA,NA,0.8759487489,NA,6,46,12
"Mycobacterium smegmatis","rod",0.702242300252029,6.45031803635056,1.523389129,42.4,9,47,12
"Mycobacterium tuberculosis","rod",0.188670609679192,3.01500392294264,0.5762594738,39.63,3,45,12
"Mycoplasma agalactiae","sphere",0.236257015875126,1.88691908756237,1.88376075,NA,5,34,0
"Mycoplasma arginini",NA,NA,NA,1.064983281,NA,6,32,0
"Mycoplasma arthritidis","sphere",0.120019797242306,1.20762821603992,1.28344139,NA,3,33,0
"Mycoplasma capricolum",NA,NA,NA,2.236464891,NA,6,30,0
"Mycoplasma felis","sphere",0.0452132192286258,0.636172512351933,2.860240813,NA,9,29,0
"Mycoplasma feriruminatoris","sphere",0.0166792458034679,0.331830724035422,7.508132134,NA,3,30,NA
"Mycoplasma fermentans","sphere",0.0623582516960819,0.785398163397448,5.561579358,NA,5,35,0
"Mycoplasma gallisepticum","sphere",0.08168690435641,0.937702924309332,2.895698344,NA,6,32,0
"Mycoplasma genitalium","sphere",0.00370597349062189,0.125663706143592,0.3893105551,NA,3,36,0
"Mycoplasma hominis","sphere",0.0826007332709471,0.944580917825591,3.046778257,NA,6,33,0
"Mycoplasma hyorhinis","sphere",0.158893613410414,1.45267244301992,0.7890925839,NA,3,30,0
"Mycoplasma meleagridis","sphere",0.0452132192286258,0.636172512351933,0.5362414548,44,6,33,0
"Mycoplasma mobile","sphere",0.0236237379350245,0.416248460230033,3.286238944,NA,3,28,0
"Mycoplasma mycoides","sphere",0.0954438169176383,1.03868907109313,1.592634089,23.75,6,30,0
"Mycoplasma neurolyticum","sphere",0.0547093233854035,0.720810160032296,0.9302528993,NA,4,30,0
"Mycoplasma orale","sphere",0.213899780126068,1.76714586764426,1.167931665,NA,3,33,NA
"Mycoplasma ovipneumoniae","sphere",0.0833674431274534,0.950331777710913,2.06105588,NA,3,31,NA
"Mycoplasma pneumoniae","sphere",0.0358235438533714,0.546288404940076,0.4517662293,NA,3,36,0
"Mycoplasma pulmonis","sphere",0.173506962022048,1.539380400259,2.412449013,NA,4,29,0
"Mycoplasma salivarium","sphere",0.255224768984268,1.98556509688509,1.124092074,NA,3,33,0
"Myxococcus xanthus","rod",1.50473023681115,12.2718463030851,1.262548134,NA,12,66,12
"Neisseria gonorrhoeae","sphere",0.212174790243045,2.01061929829747,2.878264424,NA,12,55,12
"Neisseria meningitidis","sphere",0.13725827743044,1.539380400259,5.631672629,NA,12,59,12
"Nocardia erythropolis",NA,NA,NA,3.0711752,NA,NA,NA,NA
"Oenococcus oeni","rod",0.341200000525978,2.76460153515902,1.001809563,NA,6,47,1
"Orientia tsutsugamushi","rod",0.43290767157355,3.8779034317749,3.688205259,32.7,3,34,9
"Paenibacillus anaericanus","rod",1.20030909055522,8.24668071567321,1.058380154,NA,7,54,NA
"Paracoccus denitrificans","sphere",0.310339088692214,2.54469004940773,4.522522615,NA,3,48,12
"Pasteurella multocida",NA,NA,NA,8.40910799,NA,16,56,12
"Pelagibacter ubique","rod",0.0175986457217109,0.627533132554561,0.9170605214,27.63333333,3,31,11
"Pelagimonas varians","rod",1.61781497324485,7.6340701482232,2.294556184,NA,3,42,NA
"Photobacterium angustum",NA,NA,NA,18.97366596,NA,17,137,NA
"Photobacterium kishitanii","rod",0.975351421604102,5.93761011528471,9.486832981,NA,24,164,NA
"Photobacterium mandapamensis",NA,NA,NA,4.263762215,NA,7,74,NA
"Photobacterium phosphoreum","sphere",0.775734624395006,4.5238934211693,19.7326126,NA,4,76,NA
"Polynucleobacter asymbioticus","rod",0.0907888860960914,1.34303085940964,1.105761052,NA,3,38,12
"Porphyromonas gingivalis",NA,NA,NA,1.369879977,NA,12,53,3
"Propionibacterium acnes","rod",0.0788429800308163,1.2016591899981,1.162628763,NA,9,45,12
"Propionibacterium avidum",NA,NA,NA,1.06153061,NA,9,46,12
"Propionibacterium granulosum",NA,NA,NA,0.7582361497,NA,6,45,12
"Proteus mirabilis","rod",0.335033315946369,3.45575191894877,7.694425445,NA,22,83,12
"Proteus vulgaris","rod",0.515394277308985,4.24115008234622,16.78486386,NA,14,77,12
"Pseudoalteromonas citrea",NA,NA,NA,22.76839915,NA,11,100,NA
"Pseudoalteromonas piscicida Cura-d","rod",1.05847796321809,6.36172512351933,18.03640192,NA,28,108,12
"Pseudoalteromonas tetraodonis",NA,NA,NA,72.09993065,NA,25,114,12
"Pseudomonas aeruginosa","rod",0.249561294224543,2.61101256098352,8.317766167,37.32,13,63,12
"Pseudomonas doudoroffii",NA,NA,NA,7.392,NA,9,74,NA
"Pseudomonas fluorescens","rod",0.111371553964861,1.75929188601028,10.84926022,NA,19,69,12
"Pseudomonas marina",NA,NA,NA,7.489251071,NA,9,70,12
"Pseudomonas putida","rod",1.10682707415683,7.65763209312512,10.4304436,NA,22,75,12
"Pseudomonas syringae","rod",1.63465145549883,7.95215640439916,8.6184,NA,16,64,12
"Psychroflexus torquis","rod",16.8862445580148,82.0741080750334,1.044450241,NA,9,37,12
"Ralstonia solanacearum","rod",0.196655322534311,2.35619449019234,4.328099718,NA,9,54,12
"Rectinema cohabitans","rod",0.143148763655921,2.19911485751286,0.4671726661,NA,NA,NA,NA
"Rhizobium leguminosarum","rod",0.587637000249073,4.618141200777,2.854477765,NA,9,51,12
"Rickettsia prowazekii","rod",0.038905483422056,0.942477796076938,0.524350211,34.5,3,33,12
"Roseobacter litoralis",NA,NA,NA,23.71708245,NA,3,38,12
"Ruegeria pomeroyi","rod",1.77825872805756,8.63937979737193,3.026833574,NA,9,52,12
"Salinibacter ruber","rod",0.347430825955598,5.02654824574367,0.4660624867,NA,3,46,12
"Salinivibrio costicola","rod",0.331949339611172,3.66290068454485,10.51138499,NA,18,85,12
"Salmonella typhimurium","rod",0.576471256359439,4.44472528629884,15.60161948,NA,22,85,12
"Selenomonas ruminantium",NA,NA,NA,3.503794996,NA,10,63,4
"Serpulina alvinipulli","helical",3.44715752449222,29.3122144086795,1.167931665,NA,3,35,NA
"Serpulina hyodysenteriae","helical",1.95466810340404,20.2329278833468,0.7992537743,35.3,3,34,1
"Serpulina innocens","helical",0.685540698911017,11.1496069194231,0.7992537743,NA,3,35,NA
"Serpulina intermedia","helical",0.791155968429268,11.1680727090471,0.9723652539,NA,3,34,6
"Serpulina pilosicoli","helical",0.705413375179373,12.2383810293972,2.131343398,NA,3,34,6
"Serratia marcescens","rod",0.10162214476322,1.37444678594553,11.04108556,NA,27,93,12
"Shewanella donghaensis","rod",0.271574453340794,2.55254403104171,10.89964465,NA,31,104,NA
"Shewanella frigidimarina","rod",0.476622278849783,4.08407044966673,29.97839222,NA,28,98,12
"Shewanella pealeana",NA,NA,NA,26.94260566,NA,34,147,12
"Shewanell oneidensis","rod",0.745218502354974,6.47733573317144,18.46662107,NA,28,104,NA
"Shigella flexneri",NA,NA,NA,10.52190689,NA,22,97,12
"Sphaerochaeta halotolerans","sphere",1.25983310836217,6.15752160103599,0.1663436277,NA,8,45,0
"Sphaerotilus natans","rod",2.5534152994043,11.7927534234127,6.5,NA,11,67,12
"Sphingomonas sp. RB2256","rod",0.0343815900008867,0.848230016469244,2.428629243,NA,NA,NA,12
"Sphingopyxis alaskensis","rod",0.0435732356068209,1.00408442801383,2.016,NA,3,45,12
"Spirillum volutans","helical",104.661834807054,276.294410906936,2.376504619,NA,NA,NA,12
"Spirochaeta africana","helical",0.862262713775526,20.6327131136759,0.3885806789,NA,9,46,7
"Spirochaeta alkalica","helical",1.95364884283452,23.3887108208112,0.3521512402,NA,6,44,0
"Spirochaeta americana","helical",0.313736202125839,11.7853890029959,0.7007589991,NA,7,45,0
"Spirochaeta asiatica","helical",2.8271349003752,93.5402936809926,0.2975070823,NA,NA,NA,0
"Spirochaeta aurantia","helical",0.899655625782895,18.8747724285944,0.3846365857,NA,NA,NA,0
"Spirochaeta bajacaliforniensis","helical",1.51264127954666,31.6453068820061,1.683397512,NA,6,44,0
"Spirochaeta cellobiosiphila","helical",0.986388461061536,16.5925237532497,1.844102629,NA,9,44,0
"Spirochaeta coccoides",NA,NA,NA,0.3109445296,NA,9,47,2
"Spirochaeta isovalerica","helical",1.3245911595995,18.5512587460052,1.109035489,NA,16,60,0
"Spirochaeta litoralis","helical",NA,NA,2.335228301,NA,NA,NA,0
"Spirochaeta odontotermitis","helical",1.458023656447,30.5074397340966,0.9233310534,NA,NA,24,0
"Spirochaeta perfilievii","helical",1.20153439245384,16.8480508962384,1.268656785,NA,22,59,6
"Spirochaeta psychrophila","helical",1.5851351694046,22.1574042104357,0.6415386861,NA,NA,NA,0
"Spirochaeta smaragdinae","helical",1.65388938665697,23.1090196741363,0.1401517998,NA,6,50,7
"Spirochaeta stenostrepta","helical",0.962667175709711,26.7635465410677,1.109035489,NA,NA,NA,0
"Spirochaeta thermophila","helical",0.757684302808089,25.1287036787741,0.1922081826,NA,6,46,6
"Spirochaeta zuelzerae","helical",0.606022974127006,12.7574255190967,0.3168672825,NA,NA,NA,0
"Spiroplasma alleghenense",NA,NA,NA,1.039720771,NA,6,31,0
"Spiroplasma cantharicola",NA,NA,NA,2.130763969,NA,3,29,0
"Spiroplasma citri","helical",0.194417728584321,4.26437366911449,1.517898395,10,3,32,0
"Spiroplasma culicicola","rod",0.126587642259827,1.64933614313464,5.519630529,NA,3,29,0
"Spiroplasma eriocheiris","helical",0.026345269316317,1.69573612635464,0.2772588722,NA,3,32,0
"Spiroplasma floricola","helical",0.118213304528615,3.30409585668754,3.327106467,NA,3,29,0
"Spiroplasma kunkelii",NA,NA,NA,0.5279646593,NA,3,33,0
"Spiroplasma leptinotarsae",NA,NA,NA,0.9241962407,NA,NA,NA,NA
"Spiroplasma monobiae",NA,NA,NA,2.915782274,NA,3,29,0
"Spiroplasma phoeniceum","helical",0.327267791523154,9.15778681397539,0.6274120971,NA,3,43,0
"Spiroplasma poulsonii","helical",0.0264236596388433,1.77304106217152,0.4211527173,NA,3,31,NA
"Spiroplasma syrphidicola",NA,NA,NA,5.53998632,NA,3,32,0
"Staphylococcus aureus","sphere",0.286588350826971,2.42180351116991,9.140334771,40.2,16,61,12
"Staphylococcus epidermidis","sphere",0.0995410359797578,1.26676869774374,10.01084284,NA,19,61,12
"Staphylococcus xylosus",NA,NA,NA,7.75574483,NA,22,59,12
"Streptococcus agalactiae","sphere",0.310339088692214,2.54469004940773,4.379743745,NA,24,90,0
"Streptococcus cremoris","sphere",0.212174790243045,2.01061929829747,11.37354225,NA,19,62,3
"Streptococcus gordonii","sphere",0.775734624395006,4.5238934211693,3.66250348,45.5,12,59,5
"Streptococcus mutans",NA,NA,NA,4.751613205,NA,15,65,5
"Streptococcus pneumoniae","sphere",0.162827037358307,1.70873187924157,13.13923123,NA,3,23,0
"Streptococcus pyogenes","sphere",0.212720029733398,2.01380403898083,8.40910799,NA,18,67,0
"Streptomyces coelicolor","rod",0.405204714855114,3.07090681888402,3.36,NA,NA,NA,12
"Tannerella forsythia","rod",0.438222853644343,6.28318530717959,1.718668606,NA,5,44,3
"Tenacibaculum skagerrakense","rod",1.26102691357053,13.3517687777566,1.226324113,NA,4,50,NA
"Treponema azotonutricium","helical",0.370143244797988,10.3501412526543,0.1901203695,NA,6,47,6
"Treponema denticola","helical",0.147686429380362,6.09503816900562,0.1665661642,32.5,6,44,1
"Treponema isoptericolens","helical",2.18685736986051,26.1485750459708,0.1478713985,NA,NA,NA,0
"Treponema pallidum","helical",0.163829887050271,6.75395480859377,0.1397676782,31,6,45,0
"Treponema phagedenis","helical",0.222066047500742,7.42231507357253,0.04575943827,24,6,46,1
"Treponema primitia","helical",0.273560635251533,6.62357765934619,0.3024642242,28,6,51,6
"Treponema saccharophilum","helical",4.86865511099332,36.8886822381562,0.08880597492,NA,5,60,0
"UMB 114","rod",0.0974940920164032,1.53278305568646,4.436141956,NA,NA,NA,NA
"UMB 12-3","rod",0.0632517792898257,1.09327424344925,4.436141956,NA,NA,NA,NA
"UMB 12-4","rod",0.136793321717709,2.11115026321234,2.772588722,NA,NA,NA,NA
"UMB 12-5","rod",0.09873397391702,1.51738925168387,3.024642242,NA,NA,NA,NA
"UMB 12-8","rod",0.122149311161776,1.58650429006285,1.54749138,NA,NA,NA,NA
"UMB 13-2","rod",0.120653651259279,1.69646003293849,2.559312667,NA,NA,NA,NA
"UMB 13-8","rod",0.156182969776278,2.31849537834927,2.376504619,NA,NA,NA,NA
"UMB D-5","rod",0.0990460387872766,1.46523881363428,3.696784963,NA,NA,NA,NA
"UMB D-6","rod",0.0533484320481595,0.990858322942221,1.147278092,NA,NA,NA,NA
"UMB D-7","rod",0.0484381227305986,0.978606111593221,1.147278092,NA,NA,NA,NA
"UMB MY14","rod",0.0533484320481595,0.990858322942221,1.127832701,NA,NA,NA,NA
"UMB ND5","rod",0.0814300815810474,1.29307953621756,4.436141956,NA,NA,NA,NA
"UMP DY01","rod",0.0744109781947645,1.27422998029602,4.436141956,NA,NA,NA,NA
"Ureaplasma urealyticum","sphere",0.0835983777418778,1.14041776820718,2.021963066,33.75,6,30,0
"Veillonella parvula","sphere",0.0205795262761155,0.502654824574367,2.388951133,23,12,48,2
"Verrucomirobium sp.","rod",0.0254105103791732,0.581194640914112,1.127832701,NA,NA,NA,0
"Vibrio alginolyticus","rod",0.493303350442181,3.82426073721486,17.51897498,NA,37,129,12
"Vibrio anguillarum","rod",0.272681864751184,3.14159265358979,6.832400242,NA,3,65,12
"Vibrio campbellii","rod",0.16069455862622,1.80390250169126,2.30688,NA,37,131,12
"Vibrio cholerae","rod",0.229944947288688,3.30600266912766,8.40910799,NA,22,90,12
"Vibrio fischeri","rod",0.269210535768662,2.58286040014885,21.04246891,NA,4,79,12
"Vibrio harveyi","rod",0.714202605283633,5.18362787842316,3.83808,NA,37,130,12
"Vibrio marinus","rod",2.1698373083765,10.9955742875643,5.1048,NA,53,141,12
"Vibrio natriegens","rod",1.01372073987995,5.52920307031804,21.4518061,NA,34,129,12
"Vibrio parahaemolyticus",NA,NA,NA,17.51897498,NA,34,127,12
"Vibrio splendidus","rod",1.5033295773615,8.79143288180568,20.87103256,NA,6,93,NA
"Victivallis vadensis","sphere",0.310339088692214,2.54469004940773,7.007589991,NA,3,57,0
"Xanthomonas campestris","rod",0.106831952580423,1.69646003293849,3.07534646,NA,6,53,12
"Xanthomonas pruni","rod",0.0343815900008867,0.848230016469244,4.98,NA,6,54,12
"Xylella fastidiosa",NA,NA,NA,1.445310562,NA,6,49,12
"Yersinia enterocolitica",NA,NA,NA,5.253065961,NA,7,74,12
"Zobellia galactinovorans","rod",0.352937776077953,6.04756585816035,5.050192537,NA,6,40,12
"Zymomonas mobilis","rod",5.84724216987928,19.693858947191,5.088,NA,9,51,8
