genus,species,metabolic_rate (W/kg),wet_cell_mass_Makarieva (10^-12 grams),wet_cell_mass_Makarieva (ng),metabolic_rate (J/(h kg)),metabolic_rate_Makarieva (Log10[J/h]),wet_cell_mass_Trickovic (ng),metabolic_rate_Trickovic (Log10[J/h]),metabolic_rate_q10_Trickovic (Log10[J/h]),metabolic_rate_q10 (J/(h um^3)),temperature (C),shape,D_external,L_external,Dh_external,P_external,V_external,S_external,D_internal,L_internal,Dh_external,P_external,V_internal,S_internal,rate_link,rate_title,rate_details,rate_comment,size_link,size_title,size_details,size_comment,extra_calculations,extra_calculations,extra_calculations,original_units,conversion_factors,conversion_factors,conversion_factors,conversion_factors,,,,,
Escherichia,coli,300,1.2,0.0012,1080000,-8.887394998,0.003311464083,-8.446556196,-8.924084206,-8.99385462,32,rod,0.9466666667,2.257333333,,,1.366732679,6.713401986,0.8866666667,2.197333333,,,1.174276619,6.120771948,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Lactobacillus,bulgaricus,61,1.3,0.0013,219600,-9.544424312,,,,,45,,,,,,,,,,,,,,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,,,,,,,,,,,,,,,,,
Lactobacillus,casei,23,1.9,0.0019,82800,-9.803216062,0.004094755959,-9.46974164,-9.867681648,-10.03621174,30,rod,0.9,3,,,1.717665783,8.482300165,0.84,2.94,,,1.474110671,7.758477217,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part C). Springer US.",p. 494,Different edition but the same reference,,,,,,,,,,,,,
Lactobacillus,plantarum,22,3.8,0.0038,79200,-9.521491222,0.0099345257,-9.104127681,-9.50206769,-10.09684886,30,rod,1.05,5.5,,,4.459392597,18.14269757,0.99,5.44,,,3.933518261,16.9193614,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part C). Springer US.",p. 506,Different edition but the same reference,,,,,,,,,,,,,
Lactococcus,lactis,37,0.2,0.0002,133200,-10.57446578,0.0008977976707,-9.922317301,-10.32025731,-9.751779037,30,sphere,0.862,,,,0.3353670725,2.334341572,0.802,,,,0.2700982231,2.020684961,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Lactococcus,sp. TmLO5,35,0.8,0.0008,126000,-9.996539468,0.002237920826,-9.549784737,-9.947724746,-9.822658501,30,rod,0.8,2.05,,,0.8964011038,5.152211952,0.74,1.99,,,0.7497798331,4.626309342,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Bauer2000,"Bauer, S., Tholen, A., Overmann, J. and Brune, A., 2000. Characterization of abundance and diversity of lactic acid bacteria in the hindgut of wood-and soil-feeding termites by molecular and culture-dependent techniques. Archives of Microbiology, 173, pp.126-137.",p. 129,Original reference cited in Makarieva's study; Type species,,,,,,,,,,,,,
Leptospira,biflexa,89,0.07,0.00007,320400,-10.64920945,0.001230733684,-9.404143406,-9.802083414,-9.096108212,30,helical,0.17,12.2,0.469,0.68,0.4709505746,11.111454,0.11,12.2,0.469,0.68,0.1967998657,7.169029842,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,Strain B16 is L. biflexa,20.80520975,,,,,,,,,,,,
Methylosinus,trichosporium,470,1,0.001,1692000,-8.771599641,0.001373403049,-8.633801634,-9.031741643,-8.673986214,30,rod,0.87,1.1815,,,0.529968106,3.229258797,0.81,1.1215,,,0.4387777244,2.85386989,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Mycobacterium,phlei,96,0.4,0.0004,345600,-9.859366275,,,,,37,,,,,,,,,,,,,,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,,,,,,,,,,,,,,,,,
Neisseria,gonorrhoeae,31,0.2,0.0002,111600,-10.65130581,0.0007291745767,-10.08950429,-10.7660023,-10.09269608,37,sphere,0.8,,,,0.2680825731,2.010619298,0.74,,,,0.2121747902,1.720336137,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Neisseria,meningitidis,62,0.3,0.0003,223200,-10.17418456,0.000502583194,-9.950097848,-10.62659586,-9.764134407,37,sphere,0.7,,,,0.17959438,1.5393804,0.64,,,,0.1372582774,1.286796351,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Pseudomonas,aeruginosa,152,0.6,0.0006,547200,-9.483702661,0.001492563663,-9.087921047,,,,rod,0.6,2.25,,,0.5796238446,4.241150082,0.54,2.19,,,0.4603344299,3.715247472,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Krieg1984,"Krieg, N.R. and Holt, J.G. eds., 1984. Bergey's manual of systematic bacteriology. Vol. I (pp. xxvii+-964).",p. 165; Table 4.8,Original reference cited in Makarieva's study,,,,,,,,,,,,,
Pseudomonas,fluorescens,64,1.2,0.0012,230400,-9.558336279,0.002382009144,-9.260574101,-9.499338106,-9.400505772,26,rod,0.75,2.42,,,0.9586766332,5.701990666,0.69,2.36,,,0.7964667797,5.115769477,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Krieg1984,"Krieg, N.R. and Holt, J.G. eds., 1984. Bergey's manual of systematic bacteriology. Vol. I (pp. xxvii+-964).",p. 165; Table 4.8,Original reference cited in Makarieva's study,,,,,,,,,,,,,
Vibrio,natriegens,300,1,0.001,1080000,-8.966576245,0.002870978031,-8.508546375,-8.906486384,-8.912404716,30,rod,1.1,1.6,,,1.172075859,5.52920307,1.04,1.54,,,1.01372074,5.031574794,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Pseudomonas,perfectomarinus,88,1.7,0.0017,316800,-9.268765906,,,,,10,,,,,,,,,,,,,,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,,,,,,,,,,,,,,,,,
Pseudomonas,putida,223,1.9,0.0019,802800,-8.816639035,0.003218236656,-8.587774659,-8.906126666,-8.95020644,28,rod,0.75,3.25,,,1.325359401,7.657632093,0.69,3.19,,,1.106827074,6.91495959,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Rhizobium,leguminosarum,37,0.6,0.0006,133200,-10.09734452,0.001821888078,-9.614974081,-10.01291409,-9.782023223,30,rod,0.7,2.1,,,0.7183775201,4.618141201,0.64,2.04,,,0.5876370002,4.101663369,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Staphylococcus,epidermidis,74,0.5,0.0005,266400,-9.875495775,0.001012496658,-9.569072181,-9.96701219,-9.45884867,30,sphere,0.9,,,,0.3817035074,2.544690049,0.84,,,,0.3103390887,2.216707776,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part B). Springer US.",p. 406,Different edition but the same reference,,,,,,,,,,,,,
Streptococcus,agalactiae,122,0.3,0.0003,439200,-9.880216414,0.001012496658,-9.35194407,-10.02844209,-9.520278566,37,sphere,0.9,,,,0.3817035074,2.544690049,0.84,,,,0.3103390887,2.216707776,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part B). Springer US.",p. 684,Different edition but the same reference,,,,,,,,,,,,,
Streptococcus,faecalis,118,1,0.001,424800,-9.371815492,0.0008493161303,-9.44274612,-10.15903814,-9.562645728,38,sphere,0.845,,,,0.3159139103,2.243175694,0.785,,,,0.2532839046,1.935927933,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Streptococcus,pneumoniae,30,0.25,0.00025,108000,-10.56863624,0.000936043794,-9.995280076,-10.67177809,-10.12424954,37,sphere,0.875,,,,0.3507702735,2.405281875,0.815,,,,0.2834467283,2.08672438,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part B). Springer US.",p. 703,Different edition but the same reference,,,,,,,,,,,,,
Streptococcus,pyogenes,70,0.18,0.00018,252000,-10.34332695,0.0006091376809,-9.813883994,-10.51027901,-9.745824903,37.5,sphere,0.75,,,,0.2208932335,1.767145868,0.69,,,,0.1720069102,1.495712262,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part B). Springer US.",p. 681,Different edition but the same reference,,,,,,,,,,,,,
Vibrio,anguillarum,29,2.6,0.0026,104400,-9.566326153,0.0009588398275,-9.999553436,-9.601613428,-9.037269683,10,rod,0.5,2,,,0.3599741582,3.141592654,0.44,1.94,,,0.2726818648,2.681663489,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,,,,,,,,,,,,,
Vibrio,sp. DW1,115,0.45,0.00045,414000,-9.729787145,,,,,26,,,,,,,,,,,,,,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,,,,,,,,,,,,,,,,,
Zymomonas,mobilis,194,0.6,0.0006,698400,-9.377744519,0.00912919077,-8.195463487,-8.593403495,-9.153753077,30,rod,1.2,4,,,4.071504079,15.07964474,1.14,3.94,,,3.633704293,14.11077756,Makarieva2005,"Makarieva, A.M., Gorshkov, V.G. and Li, B.L., 2005. Energetics of the smallest: do bacteria breathe at the same rate as whales?. Proceedings of the Royal Society B: Biological Sciences, 272(1577), pp.2219-2224.",Appendix; Table 2,,Brenner2005,"Brenner, D.J., Krieg, N.R. and Staley, J.T. eds., 2005. Bergey's Manual® of Systematic Bacteriology: Volume Two: The Proteobacteria (Part C). Springer US.",p. 282,Different edition but the same reference,,,,,,,,,,,,,
Leptospira,icterohaemorrhagiae,18.05555556,,,65000,,0.0003859112441,-10.60059921,-10.79956922,-9.442314421,25,helical,0.14,7,0.25,0.45,0.1351464217,3.881851407,0.08,8.825940568,0.25,0.45,0.0439283819,2.203121159,Fulton1956,"Fulton, J.D. and Spooner, D.F., 1956. The metabolism of Leptospira icterohaemorrhagiae in vitro. Experimental Parasitology, 5(2), pp.154-177.",p. 167; Table 2,Egg yolk,average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,8.825940568,,,uL O2/(mg prot dw*h),0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,0.5 kg prot dw/kg cell dw,,,
Spirochaeta,aurantia,13.44444444,,,48400,,0.003405464758,-9.782978248,-10.18091826,-10.13499456,30,helical,0.3,15,1.205,3.214,1.408539349,18.87477243,0.24,20.02675554,1.205,0.45,0.8996556258,15.05457901,Breznak1972,"Breznak, J.A. and Canale-Parola, E., 1972. Metabolism of Spirochaeta aurantia: II. Aerobic oxidation of carbohydrates. Archives of Microbiology, 83(4), pp.278-292.",p. 282,"Glucose, maltose",average across studies reported in 'cell_dimensions' spreadsheet in our dataset,,,,20.02675554,,,uL O2/(mg dw*h),0.001 mL/uL,10^6 mg/kg,20 J/(mL O2),0.000278 Wh/J,0.2 kg dw/kg ww,,,,
